Schools WITHOUT markaz assigned: 199

--- CSV Format for easy import ---

School Name,EMIS Number,User Count,Suggested Markaz
"GES BAGH SANGRA","37330288",8,
"GES BAJNIAL","37330257",3,
"GES BANGUSH COLONY","37330201",0,
"GES CHAK BELI KHAN","37330396",0,
"GES HOON","37330145",9,
"GES JAWA","37330130",2,
"GES KURI KHUDA BUKSH","37330131",0,
"GES LAKHAN","37330241",16,
"GES MIANA MOHRA","37330377",4,
"GES RAIKA MIRA","37330385",5,
"GES THALLA KHURD","37330392",6,
"GGCMS MOHRI KHAMBAL","37330556",1,
"GGES ARAZI SOHAL","37330172",0,
"GGES Anwarulislam kamalabad","37330151",2,
"GGES BAINS","37330411",6,
"GGES Banda","37330551",11,
"GGES Bodial","37330621",0,
"GGES DADHOCHA","37330175",1,
"GGES DHAKALA","37330176",0,
"GGES DHERI","37330634",0,
"GGES DHOKE CHACH","37330605",6,
"GGES DHOKE PARACHA","37330455",0,
"GGES DHUDHUMBER","37330630",2,
"GGES Dhok Mureed","37330637",0,
"GGES Dhoke Budhal","37330537",0,
"GGES Dhoke Gujri","37330627",1,
"GGES GANGAWALA","37330610",3,
"GGES GHELLA KALAN","37330643",0,
"GGES GULAM SARWAR BRITISH HOMES","37330717",1,
"GGES Hoshial","37330554",9,
"GGES JAIL COLONY","37330614",13,
"GGES JHUMMAT MUGHAL","37330512",1,
"GGES Jabber Miana","37330129",1,
"GGES Jharaki","37330555",11,
"GGES KARAHI","37330195",9,
"GGES KOTHA KALLAN","37330561",15,
"GGES Kurar","37330664",3,
"GGES MERA Mohra","37330524",12,
"GGES MOHRA","37330380",0,
"GGES MUJAHID","37330587",1,
"GGES Misrial","37330669",1,
"GGES Mohra","37330629",5,
"GGES Mohri Khattran","37330585",1,
"GGES Murree Road Rawalpindi","37330161",0,
"GGES Naseerabad","37330461",2,
"GGES New Sarfraz Road Rwp","37330157",0,
"GGES Nikrali","37330706",1,
"GGES No  2 Siham","37330479",1,
"GGES PIND HABTAL  RAWALPINDI","37330612",8,
"GGES Salmoon","37330389",0,
"GGES Shoukat Saddar","37330165",1,
"GGES THALLA KHURD","37330659",7,
"GGMPS THALLA KALAN","37330658",2,
"GGPS  Mangtal 1","37330440",0,
"GGPS ARIYA MOHALLAH","37330450",1,
"GGPS Akhtar islamia","37330150",0,
"GGPS Arazi Sohal","37330172-A",0,
"GGPS BANDA NAGIAL","37330709",1,
"GGPS Berket","37330618",1,
"GGPS CHATRO","37330530",1,
"GGPS Carriage Factory","37330433",4,
"GGPS Chakara","37330598",1,
"GGPS DADHAR NAJJAR","37330532",1,
"GGPS DHOK MALKAN","37330607",2,
"GGPS DK ALI BHADUR","37330639",1,
"GGPS DK BABA","37330708",4,
"GGPS DK KAMMAN KHAN","37330604",2,
"GGPS DK Rahim baksh","37330443",1,
"GGPS Dhudian","37330538",1,
"GGPS Dohk Ziarat","37330710",2,
"GGPS Ferozy","37330539",1,
"GGPS GHORA RAMIAL","37330531",1,
"GGPS Hoon","37330649",0,
"GGPS JORIAN","37330565",0,
"GGPS Jhawra","37330488",1,
"GGPS KALAS","37330568",5,
"GGPS KHASALA KHURD","37330571",3,
"GGPS KHILRI","37330569",4,
"GGPS KOHALA KALLAN","37330572",3,
"GGPS KOHALA SYEDAN","37330573",0,
"GGPS Kharakan","37330515",2,
"GGPS Khinger Kalan","37330516",3,
"GGPS Lakhan","37330575",1,
"GGPS Lakhoo","37330576",1,
"GGPS Lilakamalpur","37330518",2,
"GGPS MAIRA KHURD","37330583",1,
"GGPS MC Dhoke hassu","37330452",0,
"GGPS MC PIR WADHAL","37330454",0,
"GGPS MC bangush colony","37330451",0,
"GGPS MC chamanzar","37330446",1,
"GGPS MORGAH","37330586",6,
"GGPS Mari Bangial","37330522",3,
"GGPS Mohra Tullah","37330584",1,
"GGPS Mohra sowian","37330527",6,
"GGPS NEW PHAGWARI","37330457",0,
"GGPS Raika Maira","37330654",4,
"GGPS Rehmania","37330473",0,
